City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
170,lukolela,-1.0605,17.1821,24.24,60,37,1.22,CD,1688843451
171,mwene-ditu,-7.0,23.45,21.07,35,0,1.6,CD,1688843451
172,antsiranana,-12.2787,49.2917,22.57,76,41,8.45,MG,1688843451
173,georgetown,5.4112,100.3354,26.12,83,40,0.0,MY,1688843295
174,eyl,7.9803,49.8164,25.69,76,10,10.95,SO,1688843451
175,sinop,41.7711,34.8709,17.88,88,80,2.36,TR,1688843452
176,makushino,55.2103,67.2442,17.93,67,98,1.31,RU,1688843452
177,tidjikja,18.5564,-11.4271,39.71,12,1,3.94,MR,1688843452
178,kijang,35.2442,129.2139,21.85,97,100,0.65,KR,1688843435
179,tolanaro,-25.0319,46.9987,20.09,89,1,5.47,MG,1688843452
180,mujiayingzi,42.1167,118.7833,18.22,80,31,2.21,CN,1688843453
181,vondrozo,-22.8167,47.2833,15.65,98,44,0.8,MG,1688843453
182,turtas,58.9417,69.1325,13.61,72,58,1.89,RU,1688843453
183,trifesti,47.45,27.5167,20.6,61,100,6.93,RO,1688843453
184,pacific grove,36.6177,-121.9166,22.79,75,40,6.26,US,1688843454
185,tazacorte,28.629,-17.9293,23.54,91,40,6.17,ES,1688843454
186,kuching,1.55,110.3333,26.72,89,20,1.54,MY,1688843294
187,renfrew,55.872,-4.3925,19.73,77,75,2.24,GB,1688843454
188,shizunai-furukawacho,42.3339,142.3669,17.88,87,100,2.57,JP,1688843240
189,santa terezinha,-29.9002,-50.0904,16.5,88,100,4.25,BR,1688843454
190,mount gambier,-37.8333,140.7667,12.11,84,74,6.34,AU,1688843455
191,kovdor,67.5662,30.4758,12.17,58,98,3.36,RU,1688843455
192,cherlak,54.155,74.8055,18.03,58,18,3.64,RU,1688843455
193,taupo,-38.6833,176.0833,9.2,94,100,2.28,NZ,1688843456
194,uturoa,-16.7333,-151.4333,27.18,71,17,8.64,PF,1688843456
195,banff,51.1762,-115.5698,24.57,26,0,0.52,CA,1688843456
196,payyannur,12.1,75.2,25.18,87,100,1.27,IN,1688843456
197,boda,4.3189,17.4695,22.26,91,100,1.17,CF,1688843456
198,praia da vitoria,38.7333,-27.0667,19.53,65,18,1.37,PT,1688843457
199,hotan,37.0997,79.9269,25.94,36,100,1.23,CN,1688843457
200,luninyets,52.2472,26.8047,15.23,76,65,2.62,BY,1688843457
201,atafu village,-8.5421,-172.5159,28.24,78,10,8.01,TK,1688843457
202,antalaha,-14.9003,50.2788,21.54,84,94,4.23,MG,1688843457
203,argo,37.6333,22.7333,28.21,66,0,1.2,GR,1688843457
204,luocheng,29.3848,104.0286,23.86,71,100,0.74,CN,1688843458
205,ponta delgada,37.7333,-25.6667,20.4,73,20,5.14,PT,1688843458
206,pakala,13.4667,79.1167,26.67,66,100,3.49,IN,1688843458
207,hornsby bend,30.2474,-97.5833,38.62,45,20,4.63,US,1688843458
208,port isabel,26.0734,-97.2086,35.05,59,20,8.23,US,1688843458
209,north bend,43.4065,-124.2243,19.4,67,100,3.09,US,1688843459
210,piet retief,-27.0071,30.8132,11.55,31,6,2.66,ZA,1688843460
211,inarajan village,13.2736,144.7484,27.54,87,100,7.33,GU,1688843460
212,port elizabeth,-33.918,25.5701,12.16,68,0,11.32,ZA,1688843461
213,buka,40.8108,69.1986,23.62,30,0,0.57,UZ,1688843462
214,la ronge,55.1001,-105.2842,21.14,52,100,3.09,CA,1688843462
215,new norfolk,-42.7826,147.0587,7.72,73,15,5.81,AU,1688843463
216,lihue,21.9789,-159.3672,27.58,66,75,8.75,US,1688843463
217,dryden,49.7833,-92.7503,19.16,42,40,3.09,CA,1688843184
218,male,4.1748,73.5089,27.96,74,23,3.52,MV,1688843464
219,padang,-0.9492,100.3543,24.9,86,82,1.71,ID,1688843450
220,ust'-ilimsk,58.0006,102.6619,16.38,72,70,1.36,RU,1688843465
221,khovd,48.0056,91.6419,18.4,41,6,3.09,MN,1688843466
222,kharp,66.8014,65.8081,10.03,92,21,3.02,RU,1688843466
223,chibougamau,49.9168,-74.3659,22.11,45,98,1.58,CA,1688843467
224,bhimunipatnam,17.8833,83.4333,29.11,76,100,3.51,IN,1688843467
225,hamilton,39.1834,-84.5333,25.12,81,100,2.06,US,1688843375
226,fortuna,40.5982,-124.1573,16.19,82,100,3.09,US,1688843468
227,kruisfontein,-34.0033,24.7314,10.49,73,100,10.36,ZA,1688843468
228,carnarvon,-24.8667,113.6333,15.89,65,0,6.38,AU,1688843468
229,lincheng,19.9078,109.6858,27.44,80,83,4.15,CN,1688843469
230,paradip garh,20.3167,86.6167,28.89,83,100,3.36,IN,1688843469
231,horenka,50.5667,30.3188,20.37,63,100,5.04,UA,1688843469
232,al muwayh,22.4333,41.7583,31.18,20,89,8.28,SA,1688843469
233,tuy hoa,13.0833,109.3,25.55,91,35,1.51,VN,1688843470
234,lebu,-37.6167,-73.65,11.38,65,100,4.9,CL,1688843470
235,jabor,5.921,169.6434,28.2,79,100,8.31,MH,1688843470
236,askoy,60.4092,5.226,22.75,60,0,4.63,NO,1688843470
237,haiku-pauwela,20.9219,-156.3051,25.14,77,40,8.23,US,1688843470
238,ust'-uda,54.1742,103.0304,16.94,80,14,0.72,RU,1688843471
239,tomatlan,19.9333,-105.25,32.15,53,96,5.66,MX,1688843471
240,mananjary,-21.2167,48.3333,20.94,88,79,2.59,MG,1688843471
